"V1"	"pattern"	"support"
"1"	1	"<{CH},{GN}>"	0.331606937058276
"2"	2	"<{CH},{of},{GN}>"	0.168705480498202
"3"	3	"<{CH},{GN},{GN}>"	0.161068606895403
"4"	4	"<{GN},{CH}>"	0.153695552562518
"5"	5	"<{of},{CH},{GN}>"	0.100917813354809
"6"	6	"<{CH},{GN},{of}>"	0.0897402074452575
"7"	7	"<{CH},{of},{GN},{GN}>"	0.0861022785653786
"8"	8	"<{of},{GN},{CH}>"	0.0834085449673003
"9"	9	"<{CH},{GN},{GN},{GN}>"	0.0733834127105347
"10"	10	"<{CH},{GN},{cells}>"	0.0687040919757286
"11"	11	"<{GN},{GN},{CH}>"	0.0619003318568711
"12"	12	"<{CH},{by},{GN}>"	0.0532637220733418
"13"	13	"<{CH},{of},{of},{GN}>"	0.0510282008914314
"14"	14	"<{GN},{of},{CH}>"	0.0496535636429276
"15"	15	"<{CH},{GN},{expression}>"	0.0488343353837182
"16"	16	"<{CH},{of},{GN},{of}>"	0.0475568947083409
"17"	17	"<{CH},{GN},{of},{GN}>"	0.0474596981352143
"18"	18	"<{of},{CH},{of},{GN}>"	0.0473347311126231
"19"	19	"<{GN},{CH},{GN}>"	0.0472791902136936
"20"	20	"<{GN},{by},{CH}>"	0.0465710437523431
"21"	21	"<{CH},{expression},{GN}>"	0.0438217692553354
"22"	22	"<{of},{CH},{GN},{GN}>"	0.0432108193671115
"23"	23	"<{CH},{cells},{GN}>"	0.0422527388605785
"24"	24	"<{CH},{CH},{GN}>"	0.0410169538593982
"25"	25	"<{CH},{of},{GN},{GN},{GN}>"	0.0409752981852011
"26"	26	"<{GN},{CH},{of}>"	0.03932295644205
"27"	27	"<{CH},{on},{GN}>"	0.0377955817214902
"28"	28	"<{CH},{GN},{GN},{of}>"	0.0373512545300546
"29"	29	"<{CH},{GN},{GN},{GN},{GN}>"	0.0359210763826213
"30"	30	"<{CH},{induced},{GN}>"	0.034838028853497
"31"	31	"<{CH},{GN},{by}>"	0.0343659312125967
"32"	32	"<{of},{GN},{GN},{CH}>"	0.0343242755383996
"33"	33	"<{CH},{expression},{of},{GN}>"	0.034185423291076
"34"	34	"<{In},{CH},{GN}>"	0.0337688665491051
"35"	35	"<{The},{CH},{GN}>"	0.0318249350865744
"36"	36	"<{CH},{cell},{GN}>"	0.0312834113220122
"37"	37	"<{CH},{of},{GN},{cells}>"	0.0301309376692262
"38"	38	"<{CH},{GN},{GN},{cells}>"	0.0296171843541288
"39"	39	"<{of},{GN},{by},{CH}>"	0.0293672503089463
"40"	40	"<{CH},{apoptosis},{GN}>"	0.0284230550271456
"41"	41	"<{CH},{GN},{cell}>"	0.0283119732292867
"42"	42	"<{CH},{inhibited},{GN}>"	0.0278398755883864
"43"	43	"<{CH},{of},{GN},{of},{GN}>"	0.0268540246323887
"44"	44	"<{of},{GN},{of},{CH}>"	0.0268401394076563
"45"	45	"<{GN},{CH},{cells}>"	0.0265485496882767
"46"	46	"<{of},{CH},{on},{GN}>"	0.0264096974409531
"47"	47	"<{by},{CH},{GN}>"	0.0257570918785321
"48"	48	"<{CH},{GN},{activity}>"	0.0250906010913787
"49"	49	"<{CH},{expression},{GN},{GN}>"	0.0250767158666463
"50"	50	"<{GN},{GN},{GN},{CH}>"	0.0246462738999431
"51"	51	"<{of},{GN},{CH},{GN}>"	0.0245490773268165
"52"	52	"<{CH},{GN},{activation}>"	0.0242852580569017
"53"	53	"<{CH},{of},{of},{GN},{GN}>"	0.0240075535622544
"54"	54	"<{of},{CH},{GN},{of}>"	0.0238548160901984
"55"	55	"<{GN},{was},{CH}>"	0.0238548160901984
"56"	56	"<{CH},{GN},{pathway}>"	0.0233688332245657
"57"	57	"<{CH},{by},{GN},{GN}>"	0.0232994071009039
"58"	58	"<{CH},{activation},{GN}>"	0.0230217026062567
"59"	59	"<{CH},{GN},{of},{GN},{GN}>"	0.0229383912578625
"60"	60	"<{CH},{GN},{CH}>"	0.0229106208083978
"61"	61	"<{CH},{GN},{GN},{expression}>"	0.022035851650259
"62"	62	"<{of},{CH},{of},{GN},{GN}>"	0.0219664255265971
"63"	63	"<{of},{GN},{CH},{of}>"	0.0217859176050764
"64"	64	"<{CH},{by},{of},{GN}>"	0.0215498687846263
"65"	65	"<{The},{GN},{CH}>"	0.0215359835598939
"66"	66	"<{CH},{was},{GN}>"	0.0215220983351616
"67"	67	"<{study},{CH},{GN}>"	0.0214665574362321
"68"	68	"<{CH},{of},{GN},{GN},{of}>"	0.0212860495147114
"69"	69	"<{CH},{GN},{protein}>"	0.0212582790652467
"70"	70	"<{CH},{GN},{induced}>"	0.0209528041211347
"71"	71	"<{CH},{GN},{GN},{of},{GN}>"	0.0209528041211347
