"V1"	"pattern"	"support"
"1"	1	"<{CH}>"	0.785348310862411
"2"	2	"<{DS}>"	0.726002860356295
"3"	3	"<{of}>"	0.697302100834502
"4"	4	"<{GN}>"	0.639400713700551
"5"	5	"<{cells}>"	0.396964689873506
"6"	6	"<{by}>"	0.223524347741568
"7"	7	"<{cell}>"	0.219053305377748
"8"	8	"<{on}>"	0.146017023285522
"9"	9	"<{expression}>"	0.144697926935947
"10"	10	"<{human}>"	0.134117385689887
"11"	11	"<{was}>"	0.133756369846846
"12"	12	"<{apoptosis}>"	0.125675169052611
"13"	13	"<{The}>"	0.114122662075286
"14"	14	"<{r}>"	0.102792318693678
"15"	15	"<{is}>"	0.102542384648496
"16"	16	"<{activity}>"	0.0984045876782516
"17"	17	"<{In}>"	0.0957802802038351
"18"	18	"<{induced}>"	0.0942390202585429
"19"	19	"<{effects}>"	0.0918646468293089
"20"	20	"<{growth}>"	0.0872964078923617
"21"	21	"<{effect}>"	0.0826865132812175
"22"	22	"<{study}>"	0.0786736833335648
"23"	23	"<{treatment}>"	0.0744248045654619
"24"	24	"<{or}>"	0.0699954178758383
"25"	25	"<{inhibition}>"	0.0690928782682348
"26"	26	"<{activation}>"	0.0666074230411419
"27"	27	"<{inhibited}>"	0.0634415918021633
"28"	28	"<{protein}>"	0.0614698898901679
"29"	29	"<{proliferation}>"	0.0603313014621142
"30"	30	"<{lines}>"	0.0593315652813841
"31"	31	"<{n}>"	0.0592343687082575
"32"	32	"<{be}>"	0.0590955164609339
"33"	33	"<{results}>"	0.055152112636943
"34"	34	"<{pathway}>"	0.053541426567989
"35"	35	"<{inhibitor}>"	0.050167316958025
"36"	36	"<{signaling}>"	0.0493342034740832
"37"	37	"<{not}>"	0.0486677126869298
"38"	38	"<{We}>"	0.0472236493147642
"39"	39	"<{have}>"	0.0458906677404574
"40"	40	"<{vitro}>"	0.0457379302684014
"41"	41	"<{has}>"	0.0443910634693623
"42"	42	"<{potential}>"	0.0439189658284619
"43"	43	"<{against}>"	0.0421000013885225
"44"	44	"<{levels}>"	0.0420166900401283
"45"	45	"<{1}>"	0.0419056082422694
"46"	46	"<{2}>"	0.0404893153195684
"47"	47	"<{increased}>"	0.0403921187464419
"48"	48	"<{been}>"	0.0376706146988989
"49"	49	"<{via}>"	0.0353795526180591
"50"	50	"<{kinase}>"	0.0342409641900054
"51"	51	"<{vivo}>"	0.0336300143017815
"52"	52	"<{inhibits}>"	0.0331162609866841
"53"	53	"<{line}>"	0.0321581804801511
"54"	54	"<{inhibit}>"	0.0320193282328275
"55"	55	"<{mice}>"	0.0309640511531679
"56"	56	"<{induction}>"	0.0307835432316472
"57"	57	"<{decreased}>"	0.0305613796359294
"58"	58	"<{These}>"	0.0304502978380705
"59"	59	"<{suggest}>"	0.0300059706466349
"60"	60	"<{role}>"	0.0297282661519877
"61"	61	"<{present}>"	0.0295338730057346
"62"	62	"<{investigated}>"	0.0288257265443841
"63"	63	"<{mediated}>"	0.0284785959260751
"64"	64	"<{mechanism}>"	0.028284202779822
"65"	65	"<{reduced}>"	0.0281592357572307
"66"	66	"<{phosphorylation}>"	0.0280064982851747
"67"	67	"<{gene}>"	0.0279648426109777
"68"	68	"<{anticancer}>"	0.0275621710937392
"69"	69	"<{inhibitors}>"	0.0270623030033741
"70"	70	"<{treated}>"	0.0265068940140796
"71"	71	"<{pathways}>"	0.0264374678904178
"72"	72	"<{demonstrated}>"	0.0260209111484469
"73"	73	"<{3}>"	0.0259375998000528
"74"	74	"<{induces}>"	0.0259375998000528
"75"	75	"<{combination}>"	0.0258542884516586
"76"	76	"<{s}>"	0.0257432066537997
"77"	77	"<{death}>"	0.0256737805301379
"78"	78	"<{A}>"	0.0253544203612935
"79"	79	"<{studies}>"	0.0250628306419139
"80"	80	"<{anti}>"	0.024757355697802
"81"	81	"<{cycle}>"	0.0246323886752107
